business_id,class1,class2,class3,class4,class5,class6,class7,class8,class9
003sg,0,0,1,1,0,1,1,0,1
00er5,0,0,1,1,0,1,1,0,1
00kad,0,0,1,1,0,1,1,0,1
00mc6,0,0,1,0,1,1,1,0,1
00q7x,0,0,1,0,0,1,1,0,1
00v0t,0,0,1,1,0,1,1,1,1
00y7p,0,0,1,1,0,1,1,0,1
019fg,1,0,1,0,0,1,1,0,1
019r1,0,0,0,1,0,0,0,0,1
01i5j,0,1,1,0,1,1,1,1,0
01is9,0,1,1,1,1,1,1,0,0
01mrb,0,0,1,1,1,1,1,1,0
01pyb,0,0,1,0,1,1,1,0,0
01s0p,0,0,0,1,0,0,0,0,1
01xsq,0,0,1,1,0,1,1,1,1
021oz,0,0,1,1,0,1,1,0,1
026nc,0,1,1,1,0,1,1,0,0
02bwy,1,0,0,1,0,0,0,0,1
02d9t,0,1,1,1,1,1,1,0,0
02eos,0,0,1,1,0,1,1,0,1
02fio,0,0,1,1,0,1,1,0,1
02pxt,0,0,1,1,0,1,1,0,1
02qrp,0,1,1,1,0,1,1,0,0
02rfd,0,0,1,0,0,1,1,0,0
0357u,0,0,1,1,0,1,1,1,0
035x6,0,0,1,1,0,1,1,0,1
038l4,0,0,0,1,0,1,1,0,1
03bbu,0,0,1,1,0,0,1,0,1
03ked,0,0,0,1,0,0,0,0,0
03m8y,0,0,0,1,0,0,0,0,1
03vx8,0,0,0,1,0,1,1,0,1
03yz9,0,0,1,1,0,1,1,0,1
040nh,0,0,0,0,0,1,1,0,1
042hy,0,0,0,1,0,1,1,0,1
044sl,0,1,1,1,1,1,1,0,1
045qe,0,1,1,1,0,1,1,0,1
04944,0,0,0,1,0,1,1,0,1
04cy7,0,0,1,1,0,1,1,1,1
04ilw,0,0,0,1,0,1,1,0,1
04imx,0,0,0,1,0,1,1,0,1
04kgm,0,0,1,1,0,1,1,0,1
04ud9,0,0,0,0,0,0,0,0,1
04wn2,0,0,1,1,0,1,1,0,1
04zgs,0,0,1,1,0,1,1,0,0
050l6,0,0,0,1,0,1,1,0,1
0573e,0,0,1,1,0,1,1,0,0
057qc,1,0,0,1,0,0,0,0,1
05fb2,0,0,1,1,0,1,1,0,1
05h9r,0,1,1,1,1,1,1,1,0
05ihx,0,1,1,1,1,1,1,1,0
05jhx,0,0,1,1,0,1,1,0,0
05rwc,0,1,1,1,0,1,1,0,0
06cko,0,0,0,1,0,1,0,0,1
06fzh,0,0,1,1,0,1,1,0,0
06gbm,0,0,1,1,0,1,1,0,0
06ml0,0,0,0,1,1,1,1,0,1
06p0g,0,0,1,1,1,1,1,0,0
06ums,0,0,1,0,0,0,1,0,1
06vhp,0,0,1,1,1,1,1,0,1
0707d,0,0,1,1,0,1,1,0,1
070ll,0,0,0,0,0,0,1,0,1
077lb,0,0,0,1,0,1,1,0,1
07bbs,0,0,1,1,0,1,1,0,1
07gmf,0,0,1,1,0,1,1,0,1
07nri,0,1,1,1,0,1,1,0,0
07o52,0,0,1,1,1,1,1,0,0
084gg,0,0,1,1,1,1,1,0,1
084v2,1,0,0,1,0,0,0,0,1
08dzw,0,0,0,1,0,1,1,0,1
08h8f,0,0,1,1,0,1,1,0,1
08ni5,0,1,1,1,0,1,1,1,0
08oeq,0,0,1,1,0,1,1,0,1
08wfz,0,0,1,1,0,1,1,0,1
0916a,0,0,1,1,0,1,1,0,1
092lt,0,0,1,1,0,1,1,0,0
098ef,0,1,1,1,0,1,1,1,1
098un,0,0,0,1,0,0,1,0,0
09ckq,0,0,0,1,0,1,1,0,0
09ejq,0,0,0,1,0,1,0,0,1
09iat,0,0,1,1,0,1,1,0,0
09kll,0,0,1,1,0,1,1,0,1
09pmi,0,0,1,1,0,1,1,0,1
09ptq,0,0,1,1,1,1,1,0,1
09w5k,0,0,1,1,1,1,1,0,0
0a1ko,0,0,1,0,0,1,1,0,1
0a45c,0,0,0,1,1,1,1,0,0
0a938,0,0,1,1,0,1,1,0,0
0adc9,0,0,0,0,0,0,1,0,1
0adst,0,1,1,1,0,1,1,0,1
0ahhr,0,0,0,1,0,0,1,0,1
0aj6u,0,0,0,1,0,0,0,0,1
0akmq,0,1,1,1,1,1,1,1,0
0au0t,0,0,1,0,0,1,1,0,1
0axc7,0,0,1,1,1,1,1,0,0
0axvc,0,1,1,1,0,1,1,1,1
0b8ky,1,0,0,1,0,0,1,0,1
0bcfg,0,0,0,1,0,1,0,0,1
0beyy,0,0,1,1,0,1,1,1,1
0bnm5,0,0,1,1,1,1,1,0,0
0bzjp,0,0,1,1,0,1,1,0,1
0bzjx,0,0,1,1,0,1,1,0,0
0c5ka,0,0,1,1,1,1,1,0,0
0cbyt,0,0,1,1,1,1,1,0,1
0cjq2,0,0,0,1,0,1,0,0,1
0cnbh,0,0,1,0,0,1,1,0,1
0cvd1,0,0,1,1,0,1,1,1,1
0cyxs,0,0,1,0,0,1,1,0,1
0dbg2,0,0,1,1,0,1,1,0,1
0ddwy,0,1,1,0,0,1,1,0,1
0dfrm,0,0,0,1,0,1,1,0,1
0div3,0,0,1,1,0,1,1,1,0
0djgl,0,0,1,1,0,1,1,0,0
0e2eh,0,0,1,1,0,1,1,0,1
0e3bg,0,1,1,0,0,1,1,0,1
0e3cn,1,1,1,0,0,1,1,0,1
0e69f,0,0,1,1,0,1,1,0,1
0eilg,0,0,1,0,1,1,1,0,1
0em68,0,0,0,1,0,1,1,0,1
0eolh,0,0,0,1,0,0,1,0,1
0eps4,0,0,1,1,0,1,1,0,1
0eqm9,0,0,1,0,1,1,1,1,0
0ey3w,0,1,1,1,0,1,1,0,1
0f3qk,0,1,1,1,1,1,1,0,0
0f46h,0,1,1,1,0,1,1,0,0
0f4hh,0,0,1,1,0,1,1,0,1
0fbnt,0,0,1,0,0,1,1,0,0
0fenh,0,1,1,1,1,1,1,1,0
0fo37,0,0,0,1,0,0,0,0,1
0frr7,0,0,0,1,0,1,1,0,1
0ftqi,0,0,0,1,0,1,0,0,1
0ftr0,0,1,1,0,0,1,1,0,1
0g47h,0,0,1,1,0,1,1,0,1
0gbv7,0,0,0,1,0,0,1,0,1
0ghm5,0,1,1,0,0,1,1,0,1
0gjgs,0,0,1,1,0,1,1,0,1
0gnbb,0,0,0,1,0,1,1,0,1
0gtmi,0,0,1,1,0,1,1,0,1
0gxlt,0,0,0,1,0,1,1,0,1
0h0hd,0,0,1,0,0,1,1,0,1
0h1a4,0,0,1,1,0,1,1,0,0
0h4wo,0,0,1,1,0,1,1,0,1
0h5qu,0,1,1,1,1,1,1,1,0
0h8d4,0,0,1,1,0,1,1,0,1
0h8d5,0,1,1,0,1,1,1,1,1
0hbpj,0,0,1,1,1,1,1,0,0
0hfot,0,1,1,1,1,1,1,0,0
0hlhs,0,0,1,1,0,1,1,0,0
0hqkx,0,0,0,1,0,1,1,0,1
0hr59,0,0,1,0,0,1,1,0,0
0hv5j,0,0,1,0,0,1,1,1,1
0hx8q,0,0,1,1,1,1,1,0,1
0hy2b,0,1,1,1,0,1,1,0,1
0hyg2,0,0,0,1,0,1,0,0,1
0i4yt,0,0,1,1,0,1,1,0,1
0i5sb,1,0,0,0,0,0,0,0,1
0ib7h,0,0,1,1,0,1,1,0,1
0iiax,0,0,1,1,1,1,1,0,1
0iimp,0,0,1,1,1,1,1,0,0
0il9j,0,1,1,1,0,1,1,1,0
0imrj,0,0,1,1,0,1,1,0,0
0imwn,0,0,0,1,0,1,1,0,1
0iuhw,0,0,1,0,0,1,1,0,0
0j2q7,1,0,0,0,0,0,1,0,1
0j8vu,0,0,0,1,0,0,1,0,1
0j8zu,0,0,1,1,0,1,1,0,0
0jbjh,0,0,1,1,0,1,1,0,0
0jc5r,0,0,1,1,0,1,1,0,1
0jc65,0,0,1,0,0,1,1,0,1
0jfku,0,0,1,1,0,1,1,0,0
0jiz6,0,0,1,1,0,1,1,0,1
0jty2,0,1,1,1,0,1,1,0,1
0jvh7,0,0,1,1,1,1,1,0,1
0k4ul,0,0,0,1,0,0,0,0,1
0ke39,0,0,1,1,0,1,1,0,1
0l70b,0,0,1,1,0,1,1,0,0
0la7t,0,0,1,1,1,1,1,1,1
0laj4,0,0,1,1,0,1,1,0,1
0llgh,0,0,0,1,0,1,1,0,1
0lmxz,0,0,0,1,0,1,1,0,1
0lyuo,1,0,0,1,0,0,0,0,1
0lz84,0,0,0,1,0,0,1,0,1
0m08q,1,0,0,0,0,0,0,0,1
0m3wj,0,0,1,1,0,1,1,0,1
0m7ri,0,0,1,0,0,1,1,0,1
0maca,0,0,1,0,0,1,1,0,1
0mmu4,0,0,1,1,0,1,1,0,1
0mreo,0,0,1,1,0,1,1,0,1
0n1ay,0,0,1,1,0,1,1,0,1
0n2m1,0,0,1,1,0,1,1,0,0
0n4nu,0,0,1,1,0,1,1,0,1
0n8do,0,0,1,1,0,1,1,0,1
0n8et,0,1,1,1,1,1,1,0,1
0n8t4,0,0,1,1,1,1,1,0,0
0nn94,0,0,0,1,0,1,1,0,1
0nq6o,0,0,1,1,0,1,1,0,1
0nq8g,0,0,1,1,0,1,1,0,0
0nr91,0,0,1,1,0,1,1,0,1
0nrue,0,1,1,1,1,1,1,1,0
0nyh7,0,0,1,1,0,1,1,0,1
0o9fn,0,0,0,0,0,1,1,0,1
0ob7h,0,0,1,0,0,1,1,0,1
0oi66,0,0,1,1,0,1,1,0,1
0okpg,0,1,1,1,1,1,1,1,0
0omun,0,0,0,0,0,0,0,0,1
0oq6q,0,0,1,0,0,1,1,0,1
0ov4f,0,0,1,1,1,1,1,0,0
0ox18,0,0,1,1,0,1,1,0,1
0p81n,0,0,1,1,0,1,1,0,1
0pac2,0,0,1,1,1,1,1,1,0
0pdq3,0,0,1,1,0,1,1,0,0
0phk2,0,0,1,1,0,1,1,1,0
0pmkh,0,1,1,0,1,1,1,0,0
0poig,1,0,0,0,0,0,0,0,1
0prxg,0,0,1,1,0,1,1,0,1
0pthg,0,0,1,0,0,1,1,0,0
0pwam,0,0,1,1,0,1,1,0,0
0q08m,0,0,1,1,0,1,1,0,1
0q2ua,0,0,0,1,0,0,1,0,1
0q3on,0,0,0,0,0,0,0,0,1
0q6bl,0,0,1,1,0,1,1,0,1
0qevl,0,0,1,1,0,1,1,1,1
0qj4g,1,0,0,0,0,1,0,0,1
0qy5h,0,0,1,1,0,1,1,0,1
0qz6n,0,0,1,1,0,1,1,0,1
0rc3e,0,0,1,1,0,1,1,0,1
0re2p,0,0,0,1,0,0,0,0,1
0rgkv,0,0,0,1,0,0,1,0,1
0rorx,0,0,1,1,1,1,1,0,0
0rq2p,0,0,1,1,0,1,1,0,1
0rqis,0,1,1,0,0,1,1,0,0
0ruub,0,1,1,1,1,1,1,0,0
0rzi7,0,0,1,1,0,1,0,0,1
0s3z5,0,0,1,1,0,1,1,0,0
0s7wm,0,0,0,1,0,1,0,0,1
0s8h6,0,0,0,1,0,1,1,0,0
