business_id,labels
003sg,1 2 3 5 6 8
00er5,2 3 5 6 8
00kad,0 2 5 6
00mc6,1 2 5 6
00q7x,2 6 8
00v0t,1 2 5 6 7 8
00y7p,1 2 4 5 6 8
019fg,0 1 4 5 6
019r1,0 8
01i5j,1 2 4 5 6 7
01is9,1 2 3 5 6
01mrb,1 2 3 4 5 6
01pyb,1 2 4 6 7
01s0p,0 3 5 6 8
01xsq,1 2 3 5 6
021oz,2 5 6
026nc,1 2 3 5 6
02bwy,0 8
02d9t,1 2 5 6 7
02eos,1 2 3 5 6
02fio,0 1 2 4 5 6
02pxt,1 2 5 6
02qrp,1 2 3 5 6
02rfd,2 4 5 6
0357u,1 2 5 6 7 8
035x6,2 4 5 6
038l4,0 2 5 6 8
03bbu,5 6 8
03ked,2 3 5 6
03m8y,0 5 6 8
03vx8,2 5 6
03yz9,1 2 5 6
040nh,0 1 2 4 5 6 7
042hy,2 5 6 8
044sl,1 2 3 5 6
045qe,2 5 6 8
04944,2 5 6 8
04cy7,1 2 3 5 6 8
04ilw,1 2 3 5 6 8
04imx,0 2 5 6 8
04kgm,1 2 4 5 6
04ud9,0 8
04wn2,3 6 8
04zgs,1 2 5 6 8
050l6,0 1 2 5 6 8
0573e,0 2 5 6 8
057qc,0 8
05fb2,1 2 5 6 8
05h9r,1 2 3 4 5 6 7
05ihx,1 2 4 5 6 7
05jhx,2 3 5 6
05rwc,1 2 3 4 5 6
06cko,2 3 5 6 8
06fzh,1 2 3 5 6
06gbm,1 2 5 6
06ml0,1 2 5 6 8
06p0g,1 2 4 5 6
06ums,0 5 6 8
06vhp,1 2 3 5 6 8
0707d,2 3 5 6 8
070ll,0 6 8
077lb,0 1 2 5 6 8
07bbs,0 1 2 5 6 8
07gmf,0 1 2 5 6 8
07nri,1 2 5 6 8
07o52,1 2 5 6
084gg,1 2 5 6
084v2,0 8
08dzw,5 6 8
08h8f,1 2 3 5 6 8
08ni5,1 2 5 6 8
08oeq,1 2 3 5 6 7
08wfz,1 2 5 6 8
0916a,1 2 5 6
092lt,0 2 5 6 8
098ef,1 2 4 5 6 8
098un,0 2 5 6 8
09ckq,0 1 2 5 6
09ejq,0 1 2 3 5 6 8
09iat,1 2 3 5 6 8
09kll,1 2 3 4 5 6 8
09pmi,2 5 6 8
09ptq,2 5 6 8
09w5k,1 2 5 6
0a1ko,1 2 4 5 6
0a45c,2 5 6 8
0a938,1 2 5 8
0adc9,0 1 2 6 8
0adst,1 2 4 5 6 8
0ahhr,6 8
0aj6u,0 2 3 5 6
0akmq,1 2 4 5 6 7
0au0t,0 1 2 4 8
0axc7,1 2 4 5 6 7
0axvc,1 2 5 6
0b8ky,0 6 8
0bcfg,1 2 3 5 6 8
0beyy,0 1 2 5 6 8
0bnm5,0 2 4 5 6
0bzjp,2 5 6 7 8
0bzjx,1 2 5 6 8
0c5ka,1 2 4 5 6 8
0cbyt,1 2 3 4 5 6 8
0cjq2,1 2 3 5 6 8
0cnbh,0 1 2 5 6
0cvd1,1 2 6 8
0cyxs,0 2 6 8
0dbg2,2 5 6 8
0ddwy,0 1 2 5 6 8
0dfrm,2 5 6
0div3,1 2 4 5 6 7 8
0djgl,1 2 4 5 6
0e2eh,2 5 6 8
0e3bg,1 2 5 6 7 8
0e3cn,0 1 2 5 6 8
0e69f,1 2 5 6
0eilg,1 2 4 5 6 7
0em68,0 5 6 8
0eolh,6 8
0eps4,2 3 5 6 8
0eqm9,1 2 5 6 8
0ey3w,1 2 5 6
0f3qk,1 2 4 5 6
0f46h,0 1 2 5 6 7
0f4hh,1 2 3 5 6 8
0fbnt,0 1 2
0fenh,1 2 4 5 6 7
0fo37,0 8
0frr7,1 2 3 5 6 8
0ftqi,1 2 4 5 6 8
0ftr0,1 2 5 6
0g47h,2 3 5 6 8
0gbv7,3 6 8
0ghm5,1 2 4 5
0gjgs,1 2 5 6 8
0gnbb,2 5 6
0gtmi,1 2 4 5 6
0gxlt,2 3 5 6 8
0h0hd,0 1 2 5 6 8
0h1a4,0 1 2 5 6
0h4wo,2 6 8
0h5qu,1 2 3 4 5 6 7
0h8d4,2 5 6 8
0h8d5,0 1 2 5 6 8
0hbpj,1 2 4 5 6
0hfot,1 2 4 5 6
0hlhs,0 1 2 5 6
0hqkx,1 2 3 5 6 8
0hr59,0 1 2 4 5 6
0hv5j,0 2 8
0hx8q,1 2 5 6 8
0hy2b,0 1 2 5 6 8
0hyg2,2 3 5 6
0i4yt,1 2 5 6 8
0i5sb,0 6 8
0ib7h,2 4 5 6
0iiax,1 2 3 4 5 6 7 8
0iimp,2 5 6
0il9j,0 1 2 4 5 6 7
0imrj,1 2 5 8
0imwn,0 1 2 5 6 8
0iuhw,1 2 5 6 8
0j2q7,0 8
0j8vu,2 3 5 6 8
0j8zu,0 1 2 5 6 8
0jbjh,1 2 4 5 6 7
0jc5r,0 2 5 6 8
0jc65,2 5 6
0jfku,1 2 3 5 6 8
0jiz6,0 1 2 5 6 8
0jty2,1 2 3 5 6
0jvh7,1 2 5 6 8
0k4ul,0 5 6 8
0ke39,2 5 6 8
0l70b,1 2 5 6 7
0la7t,1 2 5 6 7 8
0laj4,1 2 3 5 6 8
0llgh,1 2 3 5 6
0lmxz,2 3 5 6 8
0lyuo,0 8
0lz84,0 2 5 6 8
0m08q,0 8
0m3wj,2 5 6 8
0m7ri,2 5 6 8
0maca,0 2 4 5 6 7 8
0mmu4,0 1 2 3 5 6 8
0mreo,1 2 5 6
0n1ay,0 1 2 5 6 8
0n2m1,1 2 5 6
0n4nu,1 2 3 5 6 8
0n8do,2 5 6 8
0n8et,0 1 2 5 6 8
0n8t4,1 2 5 6 8
0nn94,1 2 3 5 6
0nq6o,2 5 6 8
0nq8g,2 5 6 7 8
0nr91,2 5 6 8
0nrue,1 2 4 5 6 7
0nyh7,1 2 5 6 8
0o9fn,2 6 8
0ob7h,0 1 2 6
0oi66,1 2 3 5 6 8
0okpg,1 2 4 5 6 7
0omun,0 1 8
0oq6q,1 2 4 5 6 8
0ov4f,1 2 3 5 6 8
0ox18,2 5 6 8
0p81n,2 5 6 8
0pac2,1 2 3 4 5 6
0pdq3,2 4 5 6
0phk2,1 2 4 5 8
0pmkh,0 1 2 5 6 7 8
0poig,0 8
0prxg,1 2 5 6 8
0pthg,5 6 8
0pwam,1 2 3 5 6
0q08m,1 2 5 6
0q2ua,0 3 6 8
0q3on,0 8
0q6bl,0 2 5 6
0qevl,2 5 6
0qj4g,0 1 5 6 8
0qy5h,2 5 6 8
0qz6n,2 5 6 8
